,team_key,arena_key,arena_start_date
0,23,1,2016-10-01
1,1,2,1999-10-01
2,16,3,1990-10-01
3,21,4,1992-10-01
4,17,5,2012-10-01
5,24,6,2002-10-01
6,6,7,2001-10-01
7,15,8,1988-10-01
9,15,9,2018-07-31
11,13,10,1999-10-01
12,10,11,2003-10-01
13,22,12,1995-10-01
14,7,13,1999-10-01
15,26,14,1991-10-01
16,2,15,1995-10-01
17,30,16,2005-10-01
18,5,17,1994-10-01
19,25,18,2008-10-01
20,14,19,2000-10-01
21,9,20,1997-10-01
23,9,21,2019-10-24
25,8,22,2017-10-18
26,3,23,2002-10-01
27,27,24,1997-10-01
28,20,25,1996-10-01
29,11,26,1999-10-01
30,12,10,1999-10-01
32,12,27,2024-10-14
34,4,28,1994-10-01
35,18,29,1968-10-01
36,28,30,1999-10-01
39,28,31,2020-12-18
42,28,30,2021-10-04
45,29,32,2004-10-01
46,19,33,2010-10-01
